Report generated on: 07-31-2024 18:27:31
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-WORL-TBPD.A","        Refined petroleum products (Mb/d)","","896","742","675","677.4","715.6","1790.2","1765.8","2520.3","2626.4","2673.8","2945.5","2806.3","2956.6","3011.8","3137.1","3215.2","3512.4","3649.5","3636.8","3348.897513661202","3342.7761369863015","3586.1916712328766","4045.894191780822","4512.480166666666","4440.223123287671","4569.50630539726","4918.653863013704","4976.010634555","4930.5357416438355","5366.069338656229","5406.351394363993","5444.944553817829","5643.163792542215","5673.064929094512","1184.868356164384","","","","","","","","",""
"INTL.65-13-WORL-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","170","186","600.3","585.6","949.9","986.6","896.6","1002.1","804.8","986.1","1038.1","1138","1210.7","1290.3","1381.5","1369.5","1062.3","952.6","1148.6","1503.8","1746.6","1511.5","1818.6","897.4","818.7","37.1","NA","NA","NA","NA","NA","","","","","","","","","",""
"INTL.66-13-WORL-TBPD.A","            Residual fuel oil (Mb/d)","","602","564","514","505.7","529.4","1194.6","1177.7","1568.1","1643","1737.8","1855.8","1922","1903.4","1915","1946.5","1957.8","2175.9","2224.4","2230.1","2193.9670491803276","2298.7029589041094","2362.1574794520548","2438.2503561643834","2696.6646946627743","2855.753315068493","2718.6481095890413","2837.2473971095596","2927.8443833635506","2915.2377763287673","3072.8497931924335","3140.360272253099","3034.2870395859827","2956.111986333452","3003.214538640476","","","","","","","","","",""
"INTL.5-8-WORL-MMTCD.A","    Emissions (MMtonnes CO2)","8385.243020405567","7983.021930596296","7792.015587406164","7717.628563270881","8187.446840579148","8185.625383835878","8523.800601619945","8661.303721543545","8888.187259815435","9025.092542657594","9074.228042364719","9102.4128118383","9107.401443292429","9131.536413074948","9275.62879780021","9396.080761739906","9590.448336400143","9773.532084965329","9838.050330071268","10023.19008771708","10151.066270069314","10242.321659804988","10328.774633304793","10527.769223904399","10893.277410328534","11065.663894606172","11134.327590518873","10774.010850167131","11071.61453499947","10975.213751525249","11194.780740367049","11310.835657940286","11462.623043119112","11601.972966793068","11721.425342150384","11936.202497782053","12024.609770049557","12132.602682833718","12187.64455670648","12219.286559925711","10927.27336629252","11738.454416227974","12241.780691338474","",""
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-AFG-TBPD.A","        Total petroleum and other liquids (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-AFG-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.57-1-AFG-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.58-1-AFG-TBPD.A","                NGPL (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
