Report generated on: 07-31-2024 18:26:14
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.43-1-ASM-BCF.A","            Vented and flared natural gas (bcf)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"INTL.48-1-ASM-BCF.A","            Reinjected natural gas (bcf)","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-ASM-BCF.A","            Dry natural gas (bcf)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-3-ASM-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-4-ASM-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3002-8-ASM-MMTCD.A","    Emissions (MMtonnes CO2)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.3-1-AGO-BCF.A","        Gross natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","92","83","65","105.945","98.88","183.638","204.827","219.6593","233.079","257.7995","254.268","250.7365","296.646","243.6735","275.457","300.1775","331.961","381.75515","354.91575","356.6815","364.4508","379.035895","383.061805","379.9894","369.04175","372.255415","NA","NA","","","","",""
"INTL.26-1-AGO-BCF.A","            Dry natural gas (bcf)","9.2","8.8","10","12","12","13","14","16","18","15","19","20","20.12955","19.7764","18.36","19.7764","19.7764","20.12955","20.4827","19.7764","20.12955","18.71695","21.8953","22.95475","26.48625","22.95475","24.0142","29.31145","24.0142","24.36735","25.92121","26.55688","26.8394","32.666375","25.815265","27.298495","60.494313","203.8526","228.10403","238.9996","265.35985","213.69376","194.71438"
"INTL.43-1-AGO-BCF.A","            Vented and flared natural gas (bcf)","55","53","43","38","41","41","49","48","61","51","45","47","45.1721298949379","50.1473","46.97","132.0781","137.7285","140.90685","145.4978","151.8545","148.323","148.323","152.5608","206.59275","218.953","229.5475","229.5475","257.7995","244.3798","243.920705","248.68823","253.667645","256.351585","247.240315","246.99311","247.099055","","","","","","",""
"INTL.48-1-AGO-BCF.A","            Reinjected natural gas (bcf)","","","","","","","","","","","28","16","0","30.72405","28.25","26.48625","42.02485","53.32565","61.80125","80.87135","80.5182","78.3993","116.5395","12.36025","28.252","42.378","73.10205","88.2875","81.2245","80.87135","83.449345","91.783685","92.772505","91.1127","89.382265","90.229825","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-AGO-BCF.A","            Dry natural gas (bcf)","9.2","8.8","10","12","12","13","14","16","18","15","19","20","20.12955","19.7764","18.36","19.7764","19.7764","20.12955","20.4827","19.7764","20.12955","18.71695","21.8953","22.95475","26.48625","22.95475","24.0142","29.31145","24.0142","24.36735","25.92121","26.55688","26.8394","14.40852","8.157765","27.298495","28.357936","28.711083","40.77052","45.6911","46.74551","46.39404","49.346388"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-3-AGO-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-4-AGO-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.257855","17.6575","0","32.136377","174.32912","187.33351","193.3085","218.61434","167.29972","145.367992"
"INTL.3002-8-AGO-MMTCD.A","    Emissions (MMtonnes CO2)","0.511063036","0.488842904","0.5555033","0.66660396","0.66660396","0.72215429","0.77770462","0.88880528","0.99990594","0.83325495","1.055407096","1.1110066","1.118203145","1.098585546","1.019904059","1.098585546","1.098585546","1.118203145","1.137820744","1.098585546","1.118203145","1.039732749","1.21629114","1.275143938","1.471319928","1.275143938","1.333996735","1.62826072","1.333996735","1.353614334","1.439931769","1.475243448","1.490937527","0.800398041","0.453166538","1.516440406","1.575292703","1.594910135","2.26481584","2.538155683","2.596728507","2.577204232","2.741208138"
"","Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.3-1-ATA-BCF.A","        Gross natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.26-1-ATA-BCF.A","            Dry natural gas (bcf)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.43-1-ATA-BCF.A","            Vented and flared natural gas (bcf)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"INTL.48-1-ATA-BCF.A","            Reinjected natural gas (bcf)","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-ATA-BCF.A","            Dry natural gas (bcf)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
